группа,задача,кол-во,ед. изм.,"план+20%, $"
Второй этаж,подшить потолок вагонкой,10,м2,198
Второй этаж,шлифовка каркаса,40,м,170
Второй этаж,смонтировать мембрану,10,м2,25
Второй этаж,уложить стружку и вермулит на второй этаж,2,м3,120
Второй этаж,уложить песок на второй этаж,1,м3,23
Второй этаж,сделать обрешетку потолка,10,м2,136
Второй этаж,уложить пол  второго этажа,10,м2,276
Второй этаж,сделать постоянную лестницу,14,ст,173
Второй этаж,сделать перила для лестницы,2,шт,204
Санузел,установить бойлер,1,шт,438
Санузел,душевой уголок,1,шт,522
Водопровод,установить раковину на кухне,1,шт,130
Водопровод,установить смеситель на кухне,1,шт,71
Первый этаж,смонтировать чистовой пол первого этажа,30,м2,756
Купол дома,смонтировать утеплитель в куполе,9,м3,1334
Купол дома,смонтировать внутренюю мембрану в куполе,60,м2,148
Купол дома,смонтировать обрешотку в куполе,120,м,480
Купол дома,обшить фанерой,60,м2,583
Купол дома,прогрунтовать фанеру,60,м2,399
Купол дома,покрыть фанеру белой краской,60,м2,399
Купол дома,нанести пропитку на обрешетку,6,м2,24
Внутренние стены дома,смонтировать пленку на стены,75,м2,130
Внутренние стены дома,обшить вагонкой стены,40,м2,542
Внутренние стены дома,смонтировать утеплитель в стены,9,м3,1226
Итого общее:, ,,,8505
